Date,ADANIPORTS,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJFINANCE,BAJAJFINSV,BPCL,BHARTIARTL,BRITANNIA,CIPLA,COALINDIA,DIVISLAB,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,HDFC,ICICIBANK,ITC,IOC,INDUSINDBK,INFY,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,NTPC,NESTLEIND,ONGC,POWERGRID,RELIANCE,SBILIFE,SHREECEM,SBIN,SUNPHARMA,TCS,TATACONSUM,TATAMOTORS,TATASTEEL,TECHM,TITAN,UPL,ULTRACEMCO,WIPRO,ADANIPORTS_1d,ADANIPORTS_2d,ADANIPORTS_3d,ADANIPORTS_4d,ADANIPORTS_5d,ADANIPORTS_6d,ADANIPORTS_7d,ADANIPORTS_target
2021-06-07,878.6,2933.1,751.1,4249.75,5729.75,11828.55,481.4,536.45,3542.6,939.8,156.25,4229.95,5219.2,2754.45,1501.0,949.6,1499.85,680.1,3052.25,395.0,2339.3,2585.75,648.2,211.45,114.7,1025.2,1389.65,715.75,1814.9,1557.8,803.85,7275.65,116.4,17532.55,125.15,236.25,2227.4,988.5,29155.8,432.25,675.35,3183.2,699.95,345.5,1128.7,1034.4,1685.1,850.5,6849.65,548.25,-0.005007967220578166,-0.029592533576143866,-0.03625085363077626,-0.04421807420896884,-0.12536990666970177,-0.13288185750056908,-0.19565217391304346,-1
2021-06-08,874.2,2926.25,746.35,4269.9,5755.4,11733.1,487.45,546.8,3601.75,953.75,156.0,4241.2,5274.75,2763.8,1503.15,967.2,1483.05,689.7,3055.95,387.75,2359.0,2554.5,642.4,213.65,116.7,1020.15,1412.95,707.5,1793.55,1549.15,807.85,7336.75,116.2,17482.6,124.8,234.05,2214.6,979.85,28955.35,427.2,678.75,3200.15,710.45,352.75,1111.1,1057.75,1712.5,853.55,6794.4,550.6,-0.024708304735758434,-0.03140013726835969,-0.03940745824754066,-0.12096774193548386,-0.12851750171585452,-0.19160375200183025,-0.2600091512239763,-1
2021-06-09,852.6,2943.55,736.75,4224.5,5674.5,11558.85,485.05,540.0,3574.7,958.65,156.4,4267.45,5222.8,2729.05,1492.05,971.3,1480.3,684.9,3023.5,383.15,2356.0,2544.75,636.1,212.5,114.95,1003.55,1415.3,697.85,1782.9,1519.3,804.45,7239.0,118.1,17557.15,124.05,242.1,2175.0,998.6,28407.35,421.45,672.85,3200.25,702.85,343.35,1101.0,1052.25,1730.75,845.55,6724.75,544.2,-0.006861365235749498,-0.015071545859723225,-0.098698099929627,-0.10643912737508797,-0.1711236218625381,-0.24126202205019945,-0.18560872624912034,-1
2021-06-10,846.75,2950.6,744.25,4179.9,6086.4,11993.1,483.55,545.15,3576.3,974.2,156.5,4372.55,5292.05,2705.05,1492.5,968.55,1481.05,689.25,3009.0,385.4,2378.8,2561.9,640.4,209.3,115.95,1024.35,1424.3,705.8,1799.55,1519.7,806.95,7199.9,118.5,17556.1,123.95,241.65,2183.0,997.55,28225.8,432.25,676.05,3216.8,707.7,344.75,1114.45,1064.9,1738.65,838.7,6709.65,554.25,-0.008266902863891349,-0.09247121346324175,-0.10026572187776792,-0.1653971065839976,-0.23602007676409806,-0.17998228520814877,-0.13664009447888992,-1
2021-06-11,839.75,2956.25,738.45,4172.5,6120.0,11907.5,483.6,540.85,3557.9,967.85,162.65,4334.5,5453.0,2746.4,1490.6,983.35,1486.35,682.6,3004.35,393.15,2366.5,2559.8,635.7,207.9,115.1,1015.1,1446.9,731.2,1794.35,1503.45,809.0,7223.8,118.8,17536.4,123.55,246.3,2213.15,988.1,28056.0,429.6,681.3,3273.8,715.4,350.75,1158.35,1073.0,1728.45,835.15,6662.85,554.3,-0.08490622208990765,-0.09276570407859479,-0.15844001190830598,-0.22965168204822867,-0.17314676987198568,-0.12944328669246805,-0.11533194403096163,-1
2021-06-14,768.45,2949.9,736.25,4146.5,6194.15,11926.15,483.7,539.35,3591.25,976.15,159.35,4388.05,5461.35,2744.95,1493.0,984.2,1479.45,681.7,2985.65,394.8,2364.6,2539.2,635.15,207.3,114.75,1024.3,1461.8,729.15,1768.05,1515.75,807.45,7177.85,118.2,17577.5,124.8,248.7,2244.9,986.15,28334.05,430.35,677.1,3276.35,714.75,355.95,1164.8,1069.25,1734.8,834.6,6678.5,561.6,-0.008588717548311565,-0.08035656191033899,-0.1581755481814042,-0.09642787429240682,-0.04866939944043215,-0.03324874747869096,-0.06474071182249984,-1
2021-06-15,761.85,3042.2,750.9,4138.1,6161.15,11798.7,481.9,542.5,3631.85,969.7,157.15,4313.05,5410.85,2763.5,1495.25,985.45,1490.25,692.55,3007.05,390.85,2391.95,2545.1,645.3,207.05,115.75,1034.45,1473.9,725.1,1770.9,1510.8,808.6,7166.25,117.8,17684.8,125.35,247.6,2250.0,995.85,28485.9,429.5,673.2,3262.75,719.5,352.7,1174.3,1066.85,1723.4,841.8,6668.3,557.9,-0.07238957800091879,-0.15088271969547817,-0.08860011813349085,-0.04042790575572628,-0.024873662794513415,-0.05663844588829819,-0.06818927610422004,-1
2021-06-16,706.7,3018.7,749.8,4110.45,6081.6,11856.15,481.25,536.75,3639.45,956.75,155.55,4300.7,5406.1,2741.05,1469.2,979.4,1484.6,692.15,2975.4,380.25,2407.9,2521.45,640.1,207.85,115.9,1013.7,1480.6,705.4,1760.6,1490.9,806.15,7114.25,119.8,17965.2,126.7,242.15,2211.6,991.8,28224.75,425.95,668.55,3274.35,735.9,349.35,1142.15,1069.15,1714.95,838.2,6587.4,555.25,-0.08461865006367633,-0.017475590774020125,0.034455921890476734,0.05122399886797783,0.01698033111645677,0.004528088297721709,0.0077826517617093525,-1
2021-06-17,646.9,3060.3,738.6,4053.9,6050.25,11818.55,476.9,528.65,3658.15,950.95,152.15,4302.35,5286.5,2673.75,1458.2,986.4,1466.1,700.3,2914.1,369.25,2417.7,2487.3,633.0,205.65,114.6,984.05,1495.3,696.35,1766.05,1487.55,805.7,6969.35,117.4,18059.05,125.1,239.85,2215.65,983.3,28368.1,420.25,665.05,3317.75,745.0,345.65,1103.75,1080.25,1711.4,835.05,6704.85,558.7,0.07334982222909267,0.1300819292008038,0.1484000618333591,0.11099087957953327,0.09738754057814192,0.1009429587262329,0.10720358633482768,1
2021-06-18,694.35,3047.2,736.3,4167.1,6087.05,11999.35,472.35,538.75,3619.2,960.9,146.4,4197.3,5283.9,2707.55,1480.75,975.25,1479.8,709.2,2891.35,371.35,2482.9,2488.1,630.4,204.55,112.3,995.4,1503.3,670.6,1760.45,1476.0,781.55,6959.35,113.55,17670.65,120.25,233.0,2225.65,982.55,28045.8,412.9,668.5,3297.3,739.8,337.4,1092.3,1070.7,1711.3,808.0,6693.9,549.8,0.052855188305609466,0.06992150932526817,0.03506876935263199,0.0223950457262187,0.02570749621948588,0.03154028947936916,0.023979261179520383,1
2021-06-21,731.05,3068.55,739.55,4182.65,6116.0,12156.4,475.05,539.6,3648.85,960.15,147.5,4229.1,5282.0,2698.45,1496.65,982.0,1488.7,718.75,2894.85,367.6,2514.35,2516.4,631.25,204.45,112.65,1007.55,1500.3,672.95,1772.05,1467.05,776.85,6899.9,118.0,17649.15,120.95,234.85,2237.25,981.55,28225.35,419.75,671.35,3273.1,742.55,334.3,1106.15,1062.9,1742.85,772.2,6775.5,542.15,0.016209561589494596,-0.016893509335886615,-0.028930989672389,-0.0257848300389849,-0.020244853293208336,-0.027426304630326182,-0.03741194172765189,-1
2021-06-22,742.9,3010.8,739.35,4221.6,6016.8,12131.65,473.65,536.4,3650.9,955.85,148.7,4288.75,5308.35,2718.2,1496.3,980.1,1483.8,716.75,2907.05,367.55,2490.25,2522.9,630.85,205.1,113.85,1000.1,1511.85,675.25,1757.1,1499.2,775.2,7265.4,118.3,17436.55,122.05,234.05,2225.75,1007.0,29239.05,418.65,666.8,3301.2,756.7,337.9,1112.3,1057.2,1757.0,802.5,6858.95,556.55,-0.03257504374747602,-0.04442051420110378,-0.04132453896890555,-0.035872930407861055,-0.042939830394400295,-0.052766186566159556,-0.05357383227890693,-1
2021-06-23,718.7,2987.35,732.35,4198.6,6015.6,12282.25,469.6,534.05,3659.3,957.75,148.45,4224.6,5299.35,2728.6,1498.75,972.9,1485.5,717.75,2928.35,368.1,2480.5,2497.2,624.7,203.95,112.9,999.55,1503.15,665.5,1736.7,1479.25,781.95,7432.7,117.25,17414.8,123.35,232.25,2205.35,1000.55,28867.2,418.85,665.25,3261.4,757.85,335.25,1100.1,1056.45,1782.55,804.0,6903.35,540.15,-0.012244330040350727,-0.00904410741616808,-0.003408932795324955,-0.010713788785306867,-0.020871017114234034,-0.021705857798803425,-0.011548629469876259,0
2021-06-24,709.9,3043.25,739.15,4226.9,6043.6,12333.25,466.1,528.75,3689.1,950.9,146.4,4250.35,5277.65,2706.75,1498.9,989.7,1506.25,719.6,2906.95,369.05,2490.15,2487.4,634.05,203.25,111.45,1000.65,1559.2,679.0,1737.9,1504.05,791.8,7527.45,118.0,17619.75,122.0,231.15,2153.5,1002.15,28672.3,417.2,664.8,3373.6,757.45,334.65,1113.15,1080.0,1780.85,813.45,6961.95,549.05,0.0032398929426680776,0.008944921819974676,0.001549514016058632,-0.008733624454148376,-0.009578813917453098,0.000704324552753909,0.00021129736582614067,0
2021-06-25,712.2,3003.9,761.35,4196.15,6075.8,12486.6,470.05,535.1,3670.05,957.1,148.75,4248.75,5309.3,2720.8,1506.85,995.65,1515.1,725.95,2939.2,375.9,2448.65,2509.2,649.0,205.05,111.4,1012.9,1574.2,689.5,1735.0,1523.85,794.25,7649.0,116.05,17506.7,120.9,230.85,2104.45,1007.15,28729.1,428.8,672.25,3380.8,757.6,339.65,1165.25,1089.5,1753.85,805.15,6923.0,547.5,0.005686604886267838,-0.0016849199663016643,-0.011934849761303004,-0.012777309744453836,-0.002527379949452497,-0.0030188149396238287,0.0007020499859590003,0
2021-06-28,716.25,2982.95,762.4,4183.45,6037.05,12377.9,467.15,531.2,3667.25,963.05,147.2,4314.4,5404.25,2740.45,1520.6,985.3,1508.35,696.2,2943.65,382.3,2460.2,2494.95,650.3,203.6,110.85,1008.9,1571.8,695.35,1733.05,1514.45,793.5,7596.25,116.15,17506.15,122.35,231.85,2086.0,1002.1,28390.2,426.75,676.3,3336.75,765.65,342.8,1184.0,1105.1,1728.05,809.1,6869.45,547.4,-0.007329842931937173,-0.01752181500872594,-0.018359511343804504,-0.008167539267015739,-0.008656195462478249,-0.00495636998254793,0.005375218150087292,0
2021-06-29,711.0,3001.5,751.95,4124.65,6052.4,12299.9,466.25,524.95,3657.15,979.6,144.5,4356.15,5433.1,2705.1,1503.3,983.6,1502.05,686.5,2927.5,374.25,2492.55,2501.2,640.1,203.3,108.15,1018.15,1563.05,685.9,1705.85,1510.9,781.6,7487.5,117.6,17599.25,119.4,236.0,2087.8,999.4,28134.45,421.5,677.6,3340.85,758.05,341.55,1172.55,1088.15,1731.6,805.4,6824.7,542.6,-0.010267229254570963,-0.011111111111111079,-0.0008438818565401164,-0.0013361462728551975,0.002390998593530303,0.012798874824191312,0.0009845288326301624,0
2021-06-30,703.7,2992.7,748.3,4133.85,6015.85,12109.05,468.1,525.65,3649.65,971.9,146.65,4408.25,5423.05,2671.15,1498.75,983.5,1497.9,686.3,2902.6,372.05,2471.3,2475.25,630.9,202.7,107.9,1016.35,1580.8,683.9,1705.85,1500.55,777.7,7515.9,116.4,17633.0,117.7,232.4,2110.65,1008.15,27504.6,419.2,675.45,3345.75,754.4,339.6,1166.6,1095.45,1732.5,792.85,6776.0,545.65,-0.0008526360665056454,0.009521102742645917,0.009023731703850943,0.012789540997584198,0.02330538581782006,0.011368480886741509,0.03524229074889861,1
2021-07-01,703.1,3021.6,746.45,4204.55,5967.15,11816.45,462.75,522.65,3595.8,978.1,145.65,4435.7,5558.5,2675.3,1500.3,985.5,1486.75,685.75,2922.5,379.4,2478.0,2459.4,630.85,203.0,107.55,1007.7,1560.4,680.55,1716.1,1492.3,779.45,7584.4,117.35,17646.2,118.85,230.8,2097.95,1006.9,27059.95,420.4,684.15,3341.5,756.05,344.25,1163.55,1085.15,1740.3,791.5,6707.25,539.35,0.010382591381026816,0.009884795903854262,0.013653818802446342,0.02417863746266534,0.012231546010524851,0.036125728914805824,0.021262978239226186,1
2021-07-02,710.4,3005.0,750.65,4175.35,5997.75,11750.45,462.75,525.0,3545.3,979.2,147.65,4519.65,5575.7,2661.0,1489.75,984.65,1480.4,687.5,2919.85,376.05,2487.3,2475.7,640.25,202.4,108.45,1009.65,1567.8,671.3,1715.15,1485.65,782.6,7573.85,117.5,17602.0,118.45,227.95,2129.05,1007.2,27014.9,424.4,681.25,3325.45,763.6,344.9,1136.0,1089.4,1754.75,799.35,6719.9,538.6,-0.0004926801801802122,0.0032376126126127088,0.013654279279279345,0.001829954954955051,0.025478603603603635,0.01076858108108105,-0.009009009009008978,0
2021-07-05,710.05,3014.8,760.35,4201.5,6072.7,11923.1,459.7,523.95,3523.55,974.7,149.9,4559.95,5537.9,2701.05,1489.7,979.75,1495.45,677.9,2938.05,389.55,2499.05,2494.9,647.85,203.65,108.8,1020.55,1578.95,672.75,1731.1,1507.95,791.75,7599.45,118.6,17641.35,120.95,230.3,2150.2,1009.85,26987.6,432.65,680.2,3321.0,766.3,346.1,1156.85,1074.65,1749.9,807.6,6719.85,536.35,0.0037321315400325205,0.014153932821632376,0.002323780015491995,0.025984085627772758,0.011266812196324203,-0.008520526723470114,-0.01802689951411866,0
2021-07-06,712.7,3002.5,758.35,4195.4,6202.4,12090.8,458.05,526.1,3519.0,969.1,147.5,4524.2,5539.45,2711.15,1497.25,972.05,1534.7,680.05,2919.25,385.35,2472.5,2496.4,650.3,202.5,108.4,1031.05,1562.2,673.15,1755.35,1505.5,781.9,7514.95,117.65,17470.1,121.5,228.8,2124.8,1023.15,27769.1,429.75,673.25,3262.3,762.6,316.9,1167.25,1049.55,1762.8,803.3,6933.05,532.6,0.01038305037182542,-0.0014031149151115475,0.022169215658762387,0.007506664795846652,-0.012207099761470528,-0.021678125438473472,-0.01908236284551708,0
2021-07-07,720.1,3040.1,762.9,4188.25,6198.6,12374.15,460.5,529.6,3521.35,965.2,147.55,4552.55,5562.1,2710.85,1493.85,975.35,1539.5,685.2,2913.35,393.65,2481.65,2529.2,654.0,203.75,107.95,1044.9,1564.6,690.4,1761.8,1516.45,778.9,7449.4,117.45,17716.95,119.9,230.95,2110.05,1014.4,27547.0,432.85,680.1,3274.95,763.05,317.1,1218.65,1045.9,1727.25,816.9,6925.1,532.15,-0.011665046521316452,0.011665046521316452,-0.0028468268296070937,-0.02235800583252329,-0.03173170393000975,-0.029162616303291207,-0.04513262046937925,-1
2021-07-08,711.7,3028.3,754.4,4077.3,6117.8,12333.9,458.2,525.3,3491.4,950.65,146.25,4510.5,5466.75,2729.3,1475.45,976.8,1520.45,681.3,2900.4,383.1,2447.55,2512.05,641.9,202.0,107.55,1045.45,1560.75,668.25,1732.3,1500.7,776.25,7401.2,117.45,17618.9,117.05,231.15,2092.6,1021.6,27581.8,424.45,666.9,3258.5,763.3,306.35,1189.75,1060.15,1726.35,814.1,6901.9,531.0,0.023605451735281655,0.008922298721371236,-0.010819165378670852,-0.02030349866516797,-0.01770408880146132,-0.033862582548826785,-0.05339328368694674,-1
2021-07-09,728.5,3010.6,747.35,3995.9,6136.15,12854.75,456.9,536.25,3475.95,959.8,146.7,4599.7,5460.3,2712.15,1500.15,976.85,1502.0,683.25,2896.8,390.05,2451.45,2496.45,638.55,201.35,107.3,1039.95,1562.9,681.55,1720.05,1499.6,771.55,7425.7,117.8,17636.0,117.9,230.25,2071.2,1019.6,27502.75,423.75,667.9,3208.15,765.95,306.3,1239.35,1051.75,1720.6,814.55,6899.55,525.8,-0.014344543582704249,-0.033630748112560054,-0.04289636238846946,-0.040356897735072034,-0.05614275909402879,-0.07522306108441998,-0.07673301304049414,-1
2021-07-12,718.05,2999.4,753.6,3956.15,6149.55,12908.9,451.0,529.65,3470.4,959.85,146.4,4588.75,5494.3,2709.5,1536.15,979.45,1487.0,682.95,2898.2,388.35,2444.15,2476.95,646.25,201.1,107.2,1049.3,1547.85,694.45,1731.95,1500.75,772.85,7470.1,117.85,17641.4,118.55,229.0,2084.1,1033.45,28034.95,427.45,668.55,3193.1,775.9,307.45,1226.95,1056.6,1719.85,821.45,7093.75,525.85,-0.019566882529071728,-0.028967342107095544,-0.026390919852377875,-0.04240651765197401,-0.061764501079311904,-0.06329642782536025,-0.03655734280342595,-1
2021-07-13,704.0,2993.85,770.75,3966.1,6154.3,12909.4,450.25,530.05,3485.5,965.65,148.1,4606.05,5437.1,2706.7,1576.65,967.95,1501.85,693.4,2904.1,392.25,2436.7,2544.9,664.95,201.85,107.8,1055.9,1544.95,701.4,1747.15,1513.6,781.15,7430.35,119.9,17691.9,120.4,228.65,2099.7,1052.65,28070.4,429.1,683.0,3187.55,772.85,310.95,1228.75,1050.15,1724.25,831.95,7128.85,524.85,-0.009588068181818182,-0.00696022727272724,-0.02329545454545451,-0.04303977272727266,-0.04460227272727269,-0.017329545454545518,-0.034019886363636426,-1
2021-07-14,697.25,3001.95,770.05,3953.85,6133.9,12991.2,448.7,530.05,3485.75,977.15,148.15,4623.2,5390.85,2700.0,1567.8,989.45,1499.15,688.5,2900.7,391.65,2414.85,2531.1,664.35,204.1,107.1,1052.6,1576.9,700.4,1748.15,1544.7,786.15,7326.75,120.75,17539.7,120.8,229.95,2086.0,1052.4,28414.7,431.05,685.95,3214.55,768.2,309.55,1244.7,1078.5,1710.35,819.75,7118.05,561.7,0.0026532807457870533,-0.01384008605234848,-0.033775546790964436,-0.03535317318035135,-0.007816421656507774,-0.02466833990677669,-0.020724273933309494,-1
2021-07-15,699.1,2983.6,774.15,3940.0,6129.7,12958.95,447.05,525.45,3460.85,973.6,146.7,4607.3,5393.65,2667.5,1557.25,1039.75,1520.7,693.65,2884.65,401.45,2412.35,2540.1,667.45,206.25,106.3,1055.1,1580.8,699.1,1750.05,1609.35,779.9,7307.0,120.3,17621.85,116.9,230.4,2082.35,1052.95,28427.45,431.7,683.0,3202.95,772.35,310.25,1255.95,1112.45,1701.55,836.25,7189.65,575.9,-0.016449721069947073,-0.03633242740666568,-0.03790587898726935,-0.010441996853096935,-0.02724932055499938,-0.0233156916034903,-0.05135173794879127,-1
2021-07-16,687.6,2989.3,771.15,3931.95,6125.45,12745.7,448.0,541.15,3441.0,977.15,145.55,4757.6,5406.55,2617.25,1572.3,1005.0,1522.35,698.0,2904.7,405.5,2417.4,2536.9,660.3,207.9,106.1,1044.3,1555.45,703.6,1749.5,1618.75,779.8,7303.55,119.1,17654.2,116.8,233.85,2112.4,1050.25,28096.15,430.0,688.6,3194.8,763.0,311.25,1278.45,1103.15,1695.35,837.55,7334.55,577.75,-0.020215241419429868,-0.02181500872600349,0.006108202443280878,-0.010980221058755188,-0.006980802792321216,-0.03548574752763231,-0.03228621291448523,-1
2021-07-19,673.7,2981.95,755.2,3882.85,6015.4,12721.1,453.9,538.45,3450.15,974.0,144.45,4807.45,5419.35,2579.75,1558.8,1000.2,1471.0,678.7,2887.1,396.95,2408.65,2481.65,655.9,207.75,105.95,1015.85,1541.7,698.4,1722.8,1609.6,775.8,7165.55,121.4,17752.45,114.6,233.15,2098.95,1037.85,27996.85,427.9,689.25,3184.6,765.55,308.85,1266.4,1094.2,1680.35,833.25,7312.35,573.8,-0.0016327742318539746,0.026866557815051074,0.009425560338429433,0.013507495918064284,-0.015585572213151253,-0.012320023749443474,-0.020854979961407255,0
2021-07-20,672.6,3159.05,745.75,3905.4,5941.85,12597.15,453.8,525.75,3433.55,955.15,142.9,4787.85,5344.05,2554.85,1574.1,977.2,1443.15,663.45,2839.0,383.0,2434.9,2458.75,641.9,206.8,105.6,981.55,1550.05,682.0,1702.65,1590.35,760.2,7232.7,118.45,17856.1,112.6,231.3,2093.8,1014.75,28082.9,420.9,676.45,3205.8,757.1,302.15,1233.35,1087.2,1671.4,814.25,7424.7,568.1,0.02854594112399633,0.011076419863217264,0.015165031222123003,-0.01397561700862322,-0.010704727921498729,-0.01925364258102891,0.002824858757062113,0
